회사명|종목코드|업종|주요제품
드림씨아이에스|223250|자연과학 및 공학 연구개발업|시판후조사대행(rPMS)
이베스트스팩5호|349720|금융 지원 서비스업|해당없음
케이프이에스제4호|347140|기타 금융업|기타금융지원서비스업
엔피디|198080|전자부품 제조업|스마트폰 OLED용 FPCA
플레이디|237820|광고업|온라인 광고 대행
SK6호스팩|340350|금융 지원 서비스업|
서울바이오시스|092190|반도체 제조업|Visible LED, UV LED
제이앤티씨|204270|전자부품 제조업|강화유리, 커넥터
켄코아에어로스페이스|274090|항공기,우주선 및 부품 제조업|항공가공품 및 조립품
레몬|294140|화학섬유 제조업|EMI Shield Can, 나노멤브레인 등
서남|294630|기타 전기장비 제조업|고온초전도선재
신영스팩6호|344050|금융 지원 서비스업|기업인수
위세아이텍|065370|소프트웨어 개발 및 공급업|빅데이터분석, 인공지능, 데이터품질관리 솔루션
케이비제20호스팩|342550|금융 지원 서비스업|금융지원서비스
하나금융15호스팩|341160|금융 지원 서비스업|기업인수합병
세림B&G|340440|플라스틱제품 제조업|기업인수
CJ 바이오사이언스|311690|자연과학 및 공학 연구개발업|생명정보 플랫폼, 마이크로바이옴 분석 서비스
피피아이|062970|통신 및 방송 장비 제조업|데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등
RF머트리얼즈|327260|전자부품 제조업|광통신, RF통신용 패키지
아이비김영|339950|일반 교습 학원|오프라인 학원, 온라인강의
하이제5호스팩|340120|금융 지원 서비스업|기업인수합병
브릿지바이오|288330|기초 의약물질 및 생물학적 제제 제조업|펠리노-1 단백질 저해제, 오토택신 저해제
다보링크|340360|통신 및 방송 장비 제조업|AP, APController 외
대신밸런스제8호스팩|336570|금융 지원 서비스업|기업 인수 및 합병
메드팩토|235980|자연과학 및 공학 연구개발업|항암제 신약개발
신테카바이오|226330|소프트웨어 개발 및 공급업|유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스
제이엘케이|322510|소프트웨어 개발 및 공급업|인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템
태웅로직스|124560|기타 운송관련 서비스업|3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)
IBKS제12호스팩|335870|금융 지원 서비스업|기타 금융업
리메드|302550|의료용 기기 제조업|자기장 치료기기
SK5호스팩|337450|금융 지원 서비스업|기업인수합병
비올|335890|의료용 기기 제조업|의료기기
코리아센터|290510|소프트웨어 개발 및 공급업|이커머스토탈솔루션
유안타제5호스팩|336060|금융 지원 서비스업|금융 지원 서비스
노터스|278650|자연과학 및 공학 연구개발업|비임상실험 유효성(약리)평가
티움바이오|321550|자연과학 및 공학 연구개발업|특발성폐섬유증 치료제, 면역항암제, 자궁내막증치료제, 혈우병치료제
씨에스베어링|297090|일반 목적용 기계 제조업|풍력용 선회베어링, 산업용 선회베어링
우양|103840|과실, 채소 가공 및 저장 처리업|HMR, 음료 베이스, 퓨레 등
코리아에셋투자증권|190650|금융 지원 서비스업|IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등
에스제이그룹|306040|가죽, 가방 및 유사제품 제조업|캉골 가방/모자, 헬렌카민스키 모자
제테마|216080|의료용품 및 기타 의약 관련제품 제조업|히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등
라파스|214260|기타 화학제품 제조업|마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)
아이티엠반도체|084850|전자부품 제조업|배터리 보호회로
일승|333430|선박 및 보트 건조업|환경장비
미디어젠|279600|소프트웨어 개발 및 공급업|음성인식 소프트웨어 기술개발
하나금융14호스팩|332710|금융 지원 서비스업|기업인수합병
신한제6호스팩|333050|금융 지원 서비스업|기업인수 및 합병
티라유텍|322180|소프트웨어 개발 및 공급업|스마트팩토리 솔루션
교보9호스팩|331520|금융 지원 서비스업|기업인수합병
캐리소프트|317530|영화, 비디오물, 방송프로그램 제작 및 배급업|영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)
케이엔제이|272110|특수 목적용 기계 제조업|Edge Grinder, CVD-SiC Ring
엔바이오니아|317870|그외 기타 제품 제조업|양전하필터(정수기)
팜스빌|318010|기타 식품 제조업|다이어트 제품 및 건강기능 관련 제품
라온피플|300120|소프트웨어 개발 및 공급업|카메라 모듈 검사기, AI 머신비전, 골프센서
